_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
16.1033,CXOGlb J002404.9-720437,X,00 24 04.911,-72 04 37.23,65,40,90,,,,,,,,,,,,,1,6.020463,-72.077008
16.1467,[MSS2012] 47,Star,00 24 08.202,-72 04 43.79,,,,,,13.877,11.297,,10.036,,9.071,,,,,1,6.034175,-72.078831
16.2049,CXOGlb J002407.8-720441,XB,00 24 07.804,-72 04 41.57,,,,,,,,,,,,,,,,5,6.032517,-72.078214
16.2862,Cl* NGC  104      R      14,Star,00 24 08.30,-72 04 44.2,,,,,,,,,,,,M1II,,,,3,6.034583,-72.078944
16.3079,[MSS2012] 48,Star,00 24 05.79891,-72 05 09.3811,0.194,0.369,90,6.219,-0.835,13.767,11.977,,9.787,9.051,8.897,,,,,2,6.024162,-72.085939
16.3255,[MSS2012] 40,Star,00 24 08.379,-72 04 44.70,,,,,,13.719,11.127,,9.702,,8.753,,,,,1,6.034913,-72.079083
16.4142,[LML2014] 100162,AGB*,00 24 05.0952,-72 04 36.831,,,,,,,,,,,,,,,,1,6.02123,-72.076898
16.4465,[CBG2009] NGC  104   25226,RGB*,00 24 06.604,-72 04 37.79,200,200,90,,,13.75,12.457,,,,,,,,,4,6.027517,-72.077164
16.5099,CXOGlb J002404.6-720509,X,00 24 04.669,-72 05 09.40,100,65,0,,,,,,,,,,,,,2,6.019454,-72.085944
16.9772,[LML2014] 100136,AGB*,00 24 02.8066,-72 05 05.427,,,,,,,,,,,,,,,,1,6.011694,-72.084841
17.1172,CXOGlb J002402.6-720441,X,00 24 02.658,-72 04 41.47,,,,,,,,,,,,,,,,5,6.011075,-72.078186
17.1747,[KDA2008] 9,Candidate_WD*,00 24 07.443,-72 05 07.43,,,,,,,,,,,,,,,,1,6.031013,-72.085397
17.4102,[MSS2012] 18,Star,00 24 01.659,-72 04 56.60,,,,,,13.474,11.461,,,,,,,,,1,6.006912,-72.082389
17.4565,Cl* NGC  104    FDP     183,pulsV*SX,00 24 06.446,-72 04 36.48,,,,,,15.91,15.59,,,,,,,,,9,6.026858,-72.0768
17.4963,[MSS2012] 101,Star,00 24 07.138,-72 04 37.75,,,,,,14.37,12.814,,10.957,,10.154,,,,,1,6.029742,-72.077153
17.6898,[GHE2001] W304,BYDra,00 24 02.055,-72 05 02.17,121,90,90,,,,21.17,,,,,,,,,3,6.008563,-72.083936
17.7706,CXOGlb J002405.9-720510,X,00 24 05.936,-72 05 10.77,130,80,90,,,,,,,,,,,,,1,6.024733,-72.086325
17.8126,[MSS2012] 46,Star,00 24 03.003,-72 05 07.31,,,,,,13.257,11.666,,,,,,,,,1,6.012513,-72.085364
17.9203,CXOGlb J002405.3-720511,X,00 24 05.379,-72 05 11.12,,,,,,,,,,,,,,,,4,6.022413,-72.086422
17.9525,2MASS J00240398-7205100,LPV*,00 24 04.00431,-72 05 10.0290,0.109,0.08,90,5.236,-2.86,13.688,11.498,,8.032,7.117,6.835,,,,,7,6.016685,-72.086119
17.9647,[KDA2008] 25,UV,00 24 08.023,-72 05 06.30,,,,,,,,,,,,,,,,1,6.033429,-72.085083
18.0063,PSR B0021-72I,Pulsar,00 24 07.9330,-72 04 39.669,,,,5,-2.1,,,,,,,,,,,54,6.033054,-72.077686
18.0303,CXOGlb J002405.1-720435,X,00 24 05.098,-72 04 35.21,30,28,66,,,,,,,,,,,,,1,6.021242,-72.076447
18.051,PSR J0024-72G,Pulsar,00 24 07.943,-72 04 39.65,37,30,90,4.5,-2.9,,,,,,,,,,,41,6.033096,-72.077681
18.1498,[CPF2015] COM-47TucI,Candidate_WD*,00 24 07.9530,-72 04 39.559,,,,,,,,,,,,,,,,1,6.033138,-72.077655
18.1836,CXOGlb J002406.9-720509,X,00 24 06.918,-72 05 09.90,90,88,72,,,,,,,,,,,,,1,6.028825,-72.086083
18.385,[MSS2012] 90,AGB*,00 24 06.138,-72 04 35.17,,,,,,14.072,12.694,,10.992,,10.303,,,,,2,6.025575,-72.076436
18.3858,[MSS2012] 79,Star,00 24 06.714,-72 05 10.49,,,,,,14.169,12.577,,10.686,,9.846,,,,,1,6.027975,-72.086247
18.5835,[MSS2012] 54,Star,00 24 07.820,-72 05 07.91,,,,,,13.949,11.983,,9.93,,9.04,,,,,1,6.032583,-72.085531
18.628,[CBG2009] NGC  104   23821,RGB*,00 24 01.551,-72 04 59.38,200,200,90,,,14.017,12.832,,10.565,,9.716,,,,,8,6.006463,-72.083161
18.7773,Cl* NGC  104     WD       4,Star,00 24 07.97,-72 04 38.8,,,,,,,,,,,,,,,,1,6.033208,-72.077444
18.8129,[MSS2012] 64,Star,00 24 02.856,-72 05 08.05,,,,,,14.091,12.46,,,,,,,,,1,6.0119,-72.085569
18.8227,[MSS2012] 24,Star,00 24 01.57572,-72 04 46.1702,0.439,0.264,90,2.622,-5.44,13.493,11.483,,9.358,,8.395,,,,,1,6.006566,-72.079492
19.0365,Cl* NGC  104    EGG V13,Star,00 24 01.451,-72 04 47.11,,,,,,,,,,,,,,,,2,6.006046,-72.079753
19.1152,CXOGlb J002404.6-720434,X,00 24 04.634,-72 04 34.38,40,32,0,,,,,,,,,,,,,3,6.019308,-72.076217
19.2067,Cl* NGC  104     MV x3,Star,00 24 09.41917,-72 04 48.9833,0.04,0.035,90,5.421,-1.456,13.259,11.094,,8.37,,7.35,,,,,6,6.039247,-72.080273
19.2077,Cl* NGC  104      R       4,LPV*,00 24 02.58,-72 05 07.5,70,60,0,,,14.196,11.486,,7.478,6.598,6.346,G8III:,,,,14,6.01075,-72.085417
19.3378,CXOGlb J002401.3-720448,X,00 24 01.312,-72 04 48.19,70,60,0,,,,,,,,,,,,,1,6.005467,-72.080053
19.404,Cl* NGC  104     MV x2,Star,00 24 07.8,-72 05 09,,,,,,,,,8.8,,7.79,,,,,2,6.0325,-72.085833
19.4783,Cl* NGC  104    DSZ       8,BlueStraggler,00 24 06.54,-72 04 34.5,,,,,,15.84,15.5,,,,,,,,,1,6.02725,-72.07625
19.8903,[MSS2012] 45,Star,00 24 02.908,-72 04 36.84,,,,,,13.617,11.859,,9.826,,8.952,,,,,1,6.012117,-72.0769
19.9314,CXOGlb J002401.3-720445,X,00 24 01.364,-72 04 45.63,42,40,89,,,,,,,,,,,,,3,6.005683,-72.079342
20.0677,CXOGlb J002404.1-720512,BYDra,00 24 04.145,-72 05 12.47,70,65,85,,,,19.279,,,,,,,,,3,6.017271,-72.086797
20.1876,[MSS2012] 72,Star,00 24 04.73188,-72 05 13.1791,0.262,0.228,90,5.413,-3.054,13.995,12.375,,,,,,,,,1,6.019716,-72.086994
20.2644,CXOGlb J002400.9-720453,LMXB,00 24 00.968,-72 04 53.18,,,,,,,21.7,,,,,,,,,53,6.004033,-72.081439
20.3151,[MSS2012] 14,Star,00 24 07.766,-72 05 10.21,,,,,,13.305,11.32,,,,,,,,,1,6.032358,-72.086169
20.3218,CXOGlb J002406.8-720512,XB,00 24 06.869,-72 05 12.29,,,,,,,,,,,,,,,,4,6.028621,-72.086747
20.4776,CXOGlb J002408.5-720438,Pulsar,00 24 08.507,-72 04 38.77,70,60,90,,,,,,,,,,,,,4,6.035446,-72.077436
20.4795,[CPF2015] COM-47TucT,Candidate_WD*,00 24 08.5490,-72 04 38.965,,,,,,23.72,,23.5,,,,,,,,2,6.035621,-72.07749
20.495,PSR B0021-72T,Pulsar,00 24 08.54,-72 04 38.9,,,,5.1,-2.6,,,,,,,,,,,39,6.035583,-72.077472
20.6988,Cl* NGC  104    EGG V2,pulsV*SX,00 24 09.145,-72 05 04.30,,,,,,15.46,15.07,,,,,,,,,10,6.038104,-72.084528
20.9302,Cl* NGC  104    FDP     225,Star,00 24 08.73,-72 04 39.2,,,,,,,,,,,,,,,,1,6.036375,-72.077556
21.262,Cl* NGC  104    EGG V41,BYDra,00 24 08.757,-72 05 07.56,50,46,92,,,,17.625,,,,,,,,,5,6.036488,-72.085433
21.3135,CXOGlb J002404.4-720432,X,00 24 04.487,-72 04 32.27,90,83,77,,,,,,,,,,,,,1,6.018696,-72.075631
21.4398,CXOGlb J002401.3-720504,X,00 24 01.388,-72 05 04.33,100,74,0,,,,,,,,,,,,,1,6.005783,-72.084536
21.4466,CXOGlb J002401.4-720441,CataclyV*,00 24 01.434,-72 04 41.72,,,,,,,,,,,,,,,,8,6.005975,-72.078256
21.4687,Cl* NGC  104  AGBWF  2-7,XB,00 24 10.000,-72 04 51.73,90,74,0,,,,16.654,,,,,,,,,2,6.041667,-72.081036
21.4933,[CPF2015] COM-47TucY,Candidate_WD*,00 24 01.4010,-72 04 41.875,,,,,,22.51,,,,,,,,,,2,6.005838,-72.078299
21.511,PSR J0024-7204Y,Pulsar,00 24 01.4016,-72 04 41.837,,,,4.4,-3.4,,,,,,,,,,,18,6.00584,-72.078288
21.7682,Cl* NGC  104   GYSB     283,Star,00 24 05.552,-72 05 14.95,,,,,,,,,,,,,,,,1,6.023133,-72.087486
21.8545,Cl* NGC  104    DSZ       6,V*?,00 24 07.00,-72 04 32.7,,,,,,17.78,17.17,,,,,,,,,1,6.029167,-72.07575
21.9059,Cl* NGC  104      R      15,Star,00 24 10.102,-72 04 54.07,,,,,,13.46,11.348,,,,,G8III,,,,4,6.042092,-72.081686
21.9076,CXOGlb J002405.1-720515,X,00 24 05.169,-72 05 15.09,199,120,90,,,,,,,,,,,,,1,6.021538,-72.087525
21.9785,Cl* NGC  104   GYSB     658,Star,00 24 09.718,-72 04 44.35,,,,,,,,,,,,,,,,1,6.040492,-72.078986
21.9925,Cl* NGC  104    EGG V5,CataclyV*,00 24 10.102,-72 04 51.07,,,,,,,15.5,,,,,,,,,7,6.042092,-72.080853
22.1605,CXOGlb J002408.2-720435,CataclyV*,00 24 08.299,-72 04 35.68,,,,,,,,,,,,,,,,6,6.034579,-72.076578
22.2677,CXOGlb J002402.5-720511,CataclyV*,00 24 02.533,-72 05 11.25,,,,,,,,,,,,,,,,7,6.010554,-72.086458
22.2799,[MSS2012] 41,Star,00 24 08.422,-72 04 35.98,,,,,,13.769,11.962,,,,,,,,,1,6.035092,-72.076661
22.2874,Cl* NGC  104  AGBWF  2-34,LPV*,00 24 08.406,-72 04 35.91,100,100,90,,,,12.266,,,,,,,,,2,6.035025,-72.076642
22.2964,CXOGlb J002409.5-720504,XB,00 24 09.514,-72 05 04.58,,,,,,,18.994,,,,,,,,,5,6.039642,-72.084606
22.6098,2MASS J00240063-7204471,IR<10um,00 24 00.63840,-72 04 47.1540,90,80,5,,,,,,10.542,8.724,8.733,,,,,1,6.00266,-72.079765
22.674,Cl* NGC  104   GYSB     577,Star,00 24 08.727,-72 05 09.71,,,,,,,,,,,,,,,,1,6.036363,-72.086031
22.7469,[LML2014] 100118,AGB*,00 24 00.58356,-72 04 47.5712,0.352,0.22,90,,,14.12,12.719,,11.009,,10.27,,,,,2,6.002432,-72.079881
22.7567,CXOGlb J002402.5-720434,X,00 24 02.584,-72 04 34.39,90,70,0,,,,,,,,,,,,,1,6.010767,-72.076219
22.9064,Cl* NGC  104    EGG V49,V*,00 24 08.4012,-72 05 11.301,,,,,,,12.152,,,,,,,,,1,6.035005,-72.086473
23.3768,[LML2014] 100103,AGB*,00 24 09.9833,-72 04 43.662,,,,,,,,,,,,,,,,1,6.041597,-72.078795
23.4785,Cl* NGC  104     LW      14,V*,00 24 10.03,-72 04 43.9,120,110,27,,,,11.71,,10.802,10.075,10.215,,,,,3,6.041792,-72.078861
23.4946,CXOGlb J002400.4-720448,X,00 24 00.395,-72 04 47.99,80,74,0,,,,,,,,,,,,,1,6.001646,-72.079997
23.5199,Cl* NGC  104   GYSB     523,Star,00 24 07.959,-72 05 13.43,,,,,,,,,,,,,,,,1,6.033163,-72.087064
23.529,[MSS2012] 83,Star,00 24 05.64641,-72 05 16.6916,0.219,0.211,90,6.855,-0.258,14.374,12.871,,,,,,,,,1,6.023527,-72.08797
23.6191,Cl* NGC  104  AGBWF  2-17,BYDra,00 24 06.436,-72 04 30.11,,,,,,,17.338,,,,,,,,,5,6.026817,-72.075031
23.6391,CXOGlb J002408.3-720433,X,00 24 08.304,-72 04 33.86,70,40,90,,,,,,,,,,,,,1,6.0346,-72.076072
23.8454,Cl* NGC  104    EGG V29,BYDra,00 24 08.163,-72 05 13.23,60,46,0,,,,21.136,,,,,,,,,6,6.034013,-72.087008
23.8764,[MSS2012] 33,Star,00 24 08.67237,-72 05 11.5393,0.726,0.753,90,9.263,3.091,13.69,11.851,,,,,,,,,1,6.036135,-72.086539
24.0104,IRAS X0021-723,IR,00 24 10.2,-72 05 02,,,,,,,,,,,,,2.1,2.1,90,2,6.0425,-72.083889
24.2044,[MSS2012] 2,Star,00 24 07.721,-72 04 31.59,,,,,,14.338,11.658,,,,,,,,,1,6.032171,-72.075442
24.3439,[MSS2012] 51,Star,00 24 01.21397,-72 05 08.2592,0.131,0.208,90,4.442,-2.494,13.89,12.182,,10.213,8.777,9.298,,,,,1,6.005058,-72.085628
24.4031,Cl* NGC  104     LW      13,V*,00 24 07.86,-72 04 31.7,70,60,0,,,,12.56,,7.352,6.43,6.196,,,,,6,6.03275,-72.075472
24.5338,CXOGlb J002407.7-720431,X,00 24 07.729,-72 04 31.24,83,80,90,,,,,,,,,,,,,1,6.032204,-72.075344
24.5867,CXOGlb J002410.4-720459,XB,00 24 10.484,-72 04 59.92,,,,,,,17.386,,,,,,,,,5,6.043683,-72.083311
24.7458,CXOGlb J002410.0-720441,CataclyV*,00 24 10.048,-72 04 41.20,60,50,90,,,,,,,,,,,,,9,6.041867,-72.078111
24.7687,CXOGlb J002404.5-720517,X,00 24 04.556,-72 05 17.69,236,130,90,,,,,,,,,,,,,1,6.018983,-72.088247
24.7892,CXOGlb J002403.7-720516,X,00 24 03.784,-72 05 16.90,97,90,90,,,,,,,,,,,,,2,6.015767,-72.088028
24.945,[MSS2012] 10,Star,00 24 08.221,-72 04 32.04,,,,,,13.501,11.478,,,,,,,,,1,6.034254,-72.075567
25.2647,CXOGlb J002401.7-720512,X,00 24 01.775,-72 05 12.30,,,,,,,,,,,,,,,,4,6.007396,-72.08675
25.3852,CXOGlb J002409.2-720511,X,00 24 09.262,-72 05 11.09,80,74,0,,,,,,,,,,,,,1,6.038592,-72.086414
25.4705,Cl* NGC  104    EGG V50,V*,00 24 10.5132,-72 05 02.312,,,,,,,12.108,,,,,,,,,1,6.043805,-72.083976
25.5689,CXOGlb J002403.2-720429,X,00 24 03.217,-72 04 29.62,,,,,,,,,,,,,,,,2,6.013404,-72.074894
25.6678,GEN# +2.01040017,X,00 24 08.305,-72 04 31.43,14,10,90,,,15.24,14.26,,,,,,,,,5,6.034604,-72.075397
25.7454,[MSS2012] 53,Star,00 24 10.926,-72 04 54.87,,,,,,13.953,12.206,,10.218,,9.32,,,,,1,6.045525,-72.081908
25.7855,CXOGlb J002410.5-720444,X,00 24 10.593,-72 04 44.18,111,80,90,,,,,,,,,,,,,2,6.044138,-72.078939
26.1702,Cl* NGC  104  AGBWF  2-43,V*,00 24 10.3531,-72 04 40.807,,,,,,,12.558,,,,,,,,,1,6.043138,-72.078002
26.4901,[MSS2012] 70,Star,00 24 10.226,-72 04 39.16,,,,,,14.142,12.494,,,,,,,,,1,6.042608,-72.077544
26.8565,Cl* NGC  104      R      58,Star,00 24 10.81800,-72 05 02.5095,0.561,0.594,90,,,13.806,11.881,,9.676,8.717,8.661,K0III,,,,4,6.045075,-72.08403
27.0674,[MSS2012] 66,Star,00 24 10.593,-72 04 40.99,,,,,,13.863,11.583,,10.394,,9.552,,,,,1,6.044138,-72.078053
27.1725,Cl* NGC  104  AGBWF  4-6,BYDra,00 24 10.512,-72 05 06.35,,,,,,,17.12,,,,,,,,,7,6.0438,-72.085097
27.1821,[LML2014] 100174,AGB*,00 24 10.1769,-72 05 08.840,,,,,,,,,,,,,,,,1,6.042404,-72.085789
27.2029,[MSS2012] 59,Star,00 24 11.24644,-72 04 51.8760,0.088,0.337,90,,,13.898,12.21,,10.225,,9.352,,,,,1,6.04686,-72.081077
27.5643,Cl* NGC  104   GYSB     572,Star,00 24 08.647,-72 04 30.19,,,,,,,,,,,,,,,,1,6.036029,-72.075053
27.5997,CXOGlb J002411.3-720451,X,00 24 11.320,-72 04 50.98,102,100,89,,,,,,,,,,,,,1,6.047167,-72.080828
27.7677,CXOGlb J002359.9-720504,X,00 23 59.877,-72 05 04.65,,,,,,,,,,,,,,,,3,5.999488,-72.084625
27.7694,Cl* NGC  104  AGBWF  2-45,V*,00 24 06.5038,-72 04 25.938,,,,,,,12.264,,,,,,,,,1,6.027099,-72.073872
27.771,PSR J0024-7204aa,Pulsar,00 24 07.27830,-72 05 19.5212,,,,,,,,,,,,,,,,9,6.030326,-72.088756
27.8307,CXOGlb J002407.3-720519,X,00 24 07.281,-72 05 19.58,,,,,,,,,,,,,,,,5,6.030338,-72.088772
27.8595,[GHE2001] W251,BYDra,00 24 11.059,-72 04 44.03,42,40,89,,,,18.192,,,,,,,,,2,6.046079,-72.078897
27.8746,2MASS J00240673-7204260,RGB*,00 24 06.74176,-72 04 26.0660,0.164,0.077,90,6.882,-2.396,13.718,12.403,,10.031,9.3,9.186,,,,,3,6.028091,-72.073907
27.8748,CXOGlb J002359.3-720448,X,00 23 59.434,-72 04 47.79,,,,,,,,,,,,,,,,4,5.997642,-72.079942
27.9151,Cl* NGC  104   GYSB      84,Star,00 24 03.070,-72 05 19.04,,,,,,,,,,,,,,,,1,6.012792,-72.088622
28.1758,CXOGlb J002359.3-720459,X,00 23 59.393,-72 04 59.19,140,111,0,,,,,,,,,,,,,1,5.997471,-72.083108
28.3511,CXOGlb J002359.6-720443,X,00 23 59.625,-72 04 43.03,134,70,90,,,,,,,,,,,,,1,5.998438,-72.078619
28.4014,Cl* NGC  104  AGBWF  2-25,BYDra,00 24 04.8793,-72 04 24.885,,,,,,,17.712,,,,,,,,,1,6.02033,-72.073579
28.4628,CXOGlb J002410.9-720505,X,00 24 10.972,-72 05 05.00,60,50,90,,,,,,,,,,,,,2,6.045717,-72.084722
28.4887,Cl* NGC  104  AGBWF  2-1,EB*,00 24 05.8876,-72 04 24.816,,,,,,,20.553,,,,,,,,,1,6.024532,-72.07356
28.6448,Cl* NGC  104    EGG V9,Star,00 24 03.336,-72 04 26.12,,,,,,,,,,,,,,,,5,6.0139,-72.073922
28.695,CXOGlb J002403.0-720426,X,00 24 03.038,-72 04 26.58,70,51,0,,,,,,,,,,,,,2,6.012658,-72.07405
28.7341,Cl* NGC  104  AGBWF  4-19,V*,00 24 07.5500,-72 05 20.097,,,,,,,14.465,,,,,,,,,1,6.031458,-72.088916
28.7574,[MSS2012] 77,Star,00 24 07.03869,-72 05 20.8934,0.305,0.452,90,,,14.239,12.664,,,,,,,,,1,6.029328,-72.089137
29.1386,Cl* NGC  104  AGBWF  2-47,V*,00 24 08.2107,-72 04 27.204,,,,,,,17.75,,,,,,,,,1,6.034211,-72.074223
29.345,Cl* NGC  104      R       7,Star,00 24 01.98132,-72 04 28.3393,0.055,0.07,90,4.828,-3.01,13.786,12.31,,10.483,9.47,9.669,K0III,,,,5,6.008256,-72.074539
29.4351,CXOGlb J002404.9-720522,X,00 24 04.935,-72 05 22.57,116,110,89,,,,,,,,,,,,,1,6.020563,-72.089603
29.627,[MSS2012] 29,Star,00 24 07.838,-72 05 20.53,,,,,,13.756,11.834,,,,,,,,,1,6.032658,-72.089036
29.679,Cl* NGC  104  AGBWF  2-29,BYDra,00 24 11.1291,-72 04 40.100,,,,,,,17.547,,,,,,,,,1,6.046371,-72.077806
29.8998,Cl* NGC  104  AGBWF  2-14,BYDra,00 24 08.1418,-72 04 26.200,,,,,,,17.986,,,,,,,,,1,6.033924,-72.073944
30.1178,PSR B0021-72N,Pulsar,00 24 09.193,-72 04 28.83,,,,6.3,-2.8,,,,,,,,,,,34,6.038304,-72.074675
30.1665,PSR B0021-72,Pulsar,00 24 07,-72 04.4,,,,,,,,,,,,,,,,44,6.029167,-72.073333
30.2721,Cl* NGC  104  AGBWF  4-20,V*,00 24 10.9840,-72 05 08.778,,,,,,,15.219,,,,,,,,,1,6.045767,-72.085772
30.5474,CXOGlb J002403.6-720522,X,00 24 03.516,-72 05 22.54,,,,,,,,,,,,,,,,4,6.01465,-72.089594
30.8633,CXOGlb J002411.6-720503,X,00 24 11.649,-72 05 03.69,,,,,,,,,,,,,,,,5,6.048538,-72.084358
30.9482,CXOGlb J002358.7-720447,X,00 23 58.770,-72 04 47.45,90,65,0,,,,,,,,,,,,,2,5.994875,-72.079847
31.1103,CXOGlb J002403.7-720423,CataclyV*,00 24 03.776,-72 04 22.96,,,,,,,,,,,,,,,,8,6.015733,-72.073044
31.1882,CXOGlb J002359.3-720438,CataclyV*,00 23 59.404,-72 04 38.46,,,,,,,,,,,,,,,,6,5.997517,-72.07735
31.2587,Cl* NGC  104  AGBWF  3-9,Star,00 24 11.9652,-72 05 00.108,,,,,,,19.022,,,,,,,,,1,6.049855,-72.083363
31.3427,Cl* NGC  104      R      12,V*,00 24 11.17386,-72 05 09.3988,0.078,0.082,90,4.379,-1.999,13.555,11.76,,8.234,7.286,7.082,M1II/II-III,,,,8,6.046558,-72.085944
31.3512,CXOGlb J002412.1-720455,X,00 24 12.141,-72 04 55.02,74,70,90,,,,,,,,,,,,,1,6.050588,-72.08195
31.4297,CXOGlb J002359.9-720513,X,00 24 00.043,-72 05 12.85,,,,,,,,,,,,,,,,3,6.000179,-72.086903
31.4602,[MSS2012] 58,Star,00 23 59.17433,-72 05 06.4383,0.064,0.078,90,4.329,-3.192,13.722,12.06,,9.958,9.324,9.12,,,,,1,5.99656,-72.085122
31.5079,[MSS2012] 81,Star,00 23 58.89902,-72 04 43.0108,0.198,0.123,90,5.053,-2.56,14.178,12.571,,10.624,,9.803,,,,,1,5.995413,-72.078614
31.6214,[GHE2001] W305,X,00 24 02.043,-72 04 25.53,116,110,90,,,,,,,,,,,,,2,6.008513,-72.073758
31.6477,[CBG2009] NGC  104   22374,RGB*,00 24 03.693,-72 05 23.90,200,200,90,,,14.666,13.589,,,,,,,,,3,6.015388,-72.089972
31.66,Cl* NGC  104  AGBWF  2-41,V*,00 24 07.5314,-72 04 23.170,,,,,,,12.195,,,,,,,,,1,6.031381,-72.073103
31.67,CXOGlb J002405.3-720421,CataclyV*,00 24 05.364,-72 04 21.53,40,32,0,,,,,,,,,,,,,7,6.02235,-72.072647
31.6725,CXOGlb J002411.8-720443,CataclyV*,00 24 11.915,-72 04 43.84,,,,,,,,,,,,,,,,6,6.049646,-72.078844
31.8159,CXOGlb J002401.3-720427,X,00 24 01.368,-72 04 27.26,,,,,,,,,,,,,,,,3,6.0057,-72.074239
32.1243,CXOGlb J002412.2-720450,X,00 24 12.294,-72 04 50.44,180,93,0,,,,,,,,,,,,,1,6.051225,-72.080678
32.2809,[CBG2009] NGC  104   23335,RGB*,00 24 11.653,-72 05 07.29,200,200,90,,,13.984,12.708,,,,,,,,,3,6.048554,-72.085358
32.4581,CXOGlb J002400.5-720516,X,00 24 00.548,-72 05 16.88,160,102,85,,,,,,,,,,,,,2,6.002283,-72.088022
32.8684,CXOGlb J002403.3-720524,X,00 24 03.296,-72 05 24.66,90,70,0,,,,,,,,,,,,,1,6.013733,-72.090183
32.9378,Cl* NGC  104   GYSB     801,Star,00 24 12.328,-72 04 46.10,,,,,,,,,,,,,,,,1,6.051367,-72.079472
33.2022,CXOGlb J002407.8-720524,XB,00 24 07.832,-72 05 24.38,,,,,,,,,,,,,,,,5,6.032633,-72.090106
33.3893,Cl* NGC  104   GYSB     382,Star,00 24 06.568,-72 05 26.12,,,,,,,,,,,,,,,,1,6.027367,-72.090589
33.5264,CXOGlb J002404.1-720420,X,00 24 04.191,-72 04 20.11,88,60,90,,,,,,,,,,,,,2,6.017463,-72.072253
33.6314,CXOGlb J002410.6-720516,CataclyV*,00 24 10.642,-72 05 16.37,,,,,,,,,,,,,,,,7,6.044342,-72.087881
33.7122,CXOGlb J002358.8-720509,X,00 23 58.988,-72 05 09.70,,,,,,,,,,,,,,,,3,5.995783,-72.086028
33.9665,CXOGlb J002407.1-720420,BYDra,00 24 07.137,-72 04 20.24,80,74,0,,,,20.713,,,,,,,,,2,6.029738,-72.072289
34.1281,CXOGlb J002412.1-720507,EB*,00 24 12.017,-72 05 08.06,,,,,,,20.384,,,,,,,,,6,6.050071,-72.085572
34.4998,CXOGlb J002357.8-720452,X,00 23 57.884,-72 04 52.76,,,,,,,,,,,,,,,,3,5.991183,-72.081322
34.5629,Cl* NGC  104  AGBWF  2-27,BYDra,00 24 05.7002,-72 04 18.673,,,,,,,18.024,,,,,,,,,1,6.023751,-72.071854
34.6067,[GHE2001] W256,BYDra,00 24 10.008,-72 04 26.05,250,250,90,,,,20.8,,,,,,,,,3,6.0417,-72.073903
34.7574,CXOGlb J002400.4-720427,X,00 24 00.411,-72 04 27.00,120,107,0,,,,,,,,,,,,,1,6.001713,-72.074167
35.0177,Cl* NGC  104      R       6,Star,00 23 58.23978,-72 04 41.0925,0.436,0.554,90,-0.289,-0.729,13.785,12.266,,10.379,,9.55,G8III,,,,4,5.992666,-72.078081
35.3756,[MSS2012] 13,Star,00 24 13.024,-72 04 52.85,,,,,,13.418,11.358,,,,,,,,,1,6.054267,-72.081347
35.4252,Cl* NGC  104      R      52,Star,00 24 01.48017,-72 05 23.7721,0.726,0.589,90,-3.787,-4.988,13.548,11.518,,,,,K0III,,,,5,6.006167,-72.089937
35.4277,CXOGlb J002358.6-720436,X,00 23 58.639,-72 04 36.08,153,120,89,,,,,,,,,,,,,1,5.994329,-72.076689
35.6828,CXOGlb J002407.7-720527,CataclyV*,00 24 07.773,-72 05 27.10,,,,,,,,,,,,,,,,7,6.032388,-72.090861
35.7337,CXOGlb J002412.9-720445,X,00 24 12.906,-72 04 45.22,107,100,89,,,,,,,,,,,,,1,6.053775,-72.079228
35.7496,CXOGlb J002412.6-720440,X,00 24 12.635,-72 04 40.94,70,51,0,,,,,,,,,,,,,5,6.052646,-72.078039
35.8392,CXOGlb J002408.2-720419,X,00 24 08.202,-72 04 19.85,130,130,90,,,,,,,,,,,,,1,6.034175,-72.072181
35.8851,[MSS2012] 89,Star,00 24 03.71318,-72 04 18.1283,0.415,0.418,90,6.847,-1.285,13.705,11.978,,9.959,,9.061,,,,,1,6.015472,-72.071702
36.0105,[MSS2012] 87,Star,00 23 57.57598,-72 04 50.6358,0.501,0.519,90,-10.824,1.413,14.235,12.733,,10.856,10.125,10.046,,,,,1,5.9899,-72.080732
36.245,[GHE2001] W248,V*,00 24 12.024,-72 05 12.38,50,37,0,,,,17.277,,,,,,,,,2,6.0501,-72.086772
36.2678,Cl* NGC  104  AGBWF  2-33,V*,00 24 03.4806,-72 04 17.984,,,,,,,12.341,,,,,,,,,1,6.014503,-72.071662
36.4104,CXOGlb J002357.6-720502,XB,00 23 57.699,-72 05 01.93,,,,,,,,,,,,,,,,4,5.990412,-72.083869
36.527,Cl* NGC  104  AGBWF  2-6,EB*,00 24 06.314,-72 04 16.94,70,65,0,,,,20.001,,,,,,,,,2,6.026308,-72.071372
36.6485,CXOGlb J002411.8-720514,XB,00 24 11.813,-72 05 14.56,120,70,0,,,,,,,,,,,,,4,6.049221,-72.087378
