_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
124.6334,Cl* NGC  288    KHG       2,Star,00 52 53.69036,-26 35 49.2217,0.075,0.054,90,4.466,-5.609,17.75,16.97,,15.692,15.208,14.983,,,,,1,13.22371,-26.597006
125.1278,Gaia DR2 2342907928438437376,Star,00 52 38.11306,-26 33 36.6833,0.421,0.331,90,4.991,-4.556,,,,,,,,,,,1,13.158804,-26.56019
125.3329,2MASS J00524643-2632532,RGB*,00 52 46.44348,-26 32 53.1115,0.053,0.044,90,4.306,-5.559,17.125,16.336,,14.8,14.31,14.22,,,,,1,13.193515,-26.548087
125.433,CXOU J005243.7-263253,X,00 52 43.764,-26 32 53.54,,,,,,,,,,,,,,,,1,13.18235,-26.548206
126.7475,[MDL2014] 151,HB*,00 52 48.34056,-26 32 57.6731,0.056,0.04,90,4.391,-5.44,,,,,,,,,,,1,13.201419,-26.549354
127.8152,2MASS J00525296-2633427,RGB*,00 52 52.96952,-26 33 42.6745,0.022,0.016,90,4.126,-5.755,14.657,13.691,14.122,12.29,11.67,11.56,,,,,3,13.220706,-26.561854
128.748,Cl* NGC  288    KHG      41,Star,00 52 52.50,-26 33 33.2,,,,,,19.04,18.55,,,,,,,,,1,13.21875,-26.559222
128.9605,2MASS J00524702-2637041,RGB*,00 52 47.04084,-26 37 04.0784,0.032,0.021,90,4.195,-5.539,16.259,15.388,,13.675,13.164,13.13,,,,,1,13.196004,-26.6178
132.1139,Gaia DR2 2342904767343634176,Star,00 52 54.85389,-26 34 28.7434,0.714,0.546,90,3.544,-6.226,,,,,,,,,,,1,13.228558,-26.574651
132.9987,[MDL2014] 113,HB*,00 52 39.49753,-26 36 45.8268,0.053,0.035,90,4.244,-5.572,,,,,,,,,,,1,13.164573,-26.61273
133.3592,[MDL2014] 142,HB*,00 52 50.57272,-26 36 49.9558,0.066,0.045,90,4.104,-5.681,,,,,,,,,,,2,13.21072,-26.613877
133.4461,2MASS J00524981-2636559,RGB*,00 52 49.82116,-26 36 55.8586,0.025,0.018,90,4.277,-5.655,15.293,14.239,,12.29,11.68,11.59,,,,,2,13.207588,-26.615516
133.4935,2MASS J00525439-2634055,RGB*,00 52 54.40709,-26 34 05.4689,0.034,0.024,90,4.256,-5.634,16.345,15.487,,13.786,13.26,13.21,,,,,1,13.226696,-26.568186
